line_id,from,to,subsea,exclude,Capacity_GW,model_start_year,model_first_expansion_year,build_rate,cost
TRNAFGXXCHNNW,AFGXX,CHNNW,FALSE,FALSE,0,2030,2030,0,2189
TRNAFGXXIRNXX,AFGXX,IRNXX,FALSE,FALSE,0.056,2020,2030,0,1301
TRNAFGXXPAKXX,AFGXX,PAKXX,FALSE,FALSE,0,2030,2030,0,1067
TRNAFGXXTJKXX,AFGXX,TJKXX,FALSE,FALSE,0.3,2020,2030,0,779
TRNAFGXXTKMXX,AFGXX,TKMXX,FALSE,FALSE,0.3,2020,2030,0,1043
TRNAFGXXUZBXX,AFGXX,UZBXX,FALSE,FALSE,0.45,2020,2030,0,916
TRNAGOXXCODXX,AGOXX,CODXX,FALSE,FALSE,0,2030,2030,0,826
TRNAGOXXCOGXX,AGOXX,COGXX,FALSE,FALSE,0,2030,2030,0,828
TRNAGOXXNAMXX,AGOXX,NAMXX,FALSE,FALSE,0,2030,2030,0,1283
TRNAGOXXZMBXX,AGOXX,ZMBXX,FALSE,FALSE,0,2030,2030,0,1376
TRNALBXXGRCXX,ALBXX,GRCXX,FALSE,FALSE,0.4,2020,2030,0,803
TRNALBXXKOSXX,ALBXX,KOSXX,FALSE,FALSE,0.652,2020,2030,0,468
TRNALBXXMKDXX,ALBXX,MKDXX,FALSE,FALSE,0.5,2020,2030,0,419
TRNALBXXMNEXX,ALBXX,MNEXX,FALSE,FALSE,0.35,2020,2030,0,387
TRNALBXXSRBXX,ALBXX,SRBXX,FALSE,FALSE,0.5,2020,2030,0,755
TRNAREXXIRNXX,AREXX,IRNXX,TRUE,FALSE,0,2030,2030,0,1282
TRNAREXXOMNXX,AREXX,OMNXX,FALSE,FALSE,0.4,2020,2030,0,750
TRNAREXXSAUXX,AREXX,SAUXX,FALSE,FALSE,0.9,2020,2030,0,966
TRNARGXXBOLXX,ARGXX,BOLXX,FALSE,FALSE,0.12,2020,2030,0,1437
TRNARGXXBRAXX,ARGXX,BRAXX,FALSE,FALSE,2.276,2020,2030,0,1325
TRNARGXXCHLXX,ARGXX,CHLXX,FALSE,FALSE,0.2,2020,2030,0,1086
