node_code,node_name
AFGXX,Afghanistan
AGOXX,Angola
ALBXX,Albania
AREXX,United Arab Emirates
ARGXX,Argentina
ARMXX,Armenia
AUSXX,Australia
AUTXX,Austria
AZEXX,Azerbaijan
BELXX,Belgium
BENXX,Benin
BFAXX,Burkina Faso
BGDXX,Bangladesh
BGRXX,Bulgaria
BHRXX,Bahrain
BIHXX,Bosnia and Herzegovina
BLRXX,Belarus
BOLXX,Bolivia
BRAXX,Brazil
BRNXX,Brunei Darussalam
BTNXX,Bhutan
BWAXX,Botswana
CAFXX,Central African Republic
CANAB,Canada - Alberta  
CANAR,Canada - Atlantic  
CANBC,Canada - British Colombia 
CANMB,Canada - Manitoba 
CANNL,Canada - Newfoundland 
CANNO,Canada - North
CANON,Canada - Ontario
CANQC,Canada - Quebec
CANSK,Canada - Saskatchewan 
CHEXX,Switzerland
CHLXX,Chile
CHNNW,China - Northwest
CHNNO,China - North
CHNNE,China - Northeast
CHNCE,China - Central
CHNEA,China - East
CHNSW,China - Southwest
CHNSO,China - South
CIVXX,Côte d'Ivoire
CMRXX,Cameroon
CODXX,"Congo, Democratic Republic of the"
COGXX,Congo
COLXX,Colombia
CPVXX,Cabo Verde
CRIXX,Costa Rica
CUBXX,Suba
CYPXX,Cyprus
CZEXX,Czechia
DEUXX,Germany
DJIXX,Djibouti
DNKXX,Denmark
DOMXX,Dominican Republic
DZAXX,Algeria
ECUXX,Ecuador
EGYXX,Egypt
ESHXX,Western Sahara
ESPXX,Spain
ESTXX,Estonia
ETHXX,Ethiopia
FINXX,Finland
FJIXX,Fiji
FRAXX,France
GABXX,Gabon
GBRXX,United Kingdom of Great Britain and Northern Ireland
GEOXX,Georgia
GHAXX,Ghana
GINXX,Guinea
GNBXX,Guinea-Bissau
GNQXX,Equatorial Guinea
GRCXX,Greece
GTMXX,Guatemala
GUFXX,French Guiana
HNDXX,Honduras
HRVXX,Croatia
HUNXX,Hungary
IDNJW,Indonesia - Jawa
IDNKA,Indonesia - Kalimantan
IDNML,Indonesia - Maluku
IDNNU,Indonesia - Nusa Tenggara
IDNPP,Indonesia - Papua
IDNSL,Indonesia - Sulawesi
IDNSM,Indonesia - Sumatra
INDNO,India - North
INDWE,India - West
INDEA,India - East
INDNE,India - Northeast
INDSO,India - South
IRLXX,Ireland
IRNXX,Iran
IRQXX,Iraq
ISLXX,Iceland
ISRXX,Israel
ITAXX,Italy
JAMXX,Jamaica
JORXX,Jordan
JPNXX,Japan
KAZXX,Kazakhstan
KENXX,Kenya
KGZXX,Kyrgystan
KHMXX,Cambodia
KORXX,Korea (Democratic People's Republic of)
KWTXX,Kuwait
LAOXX,Lao People's Democratic Republic
LBNXX,Lebanon
