TECHNOLOGY,From,To,Cap (MW) +,Cap (MW) -
TRNCANABUSANW,CANAB,USANW,191.0,-243.0
TRNCANARUSAIS,CANAR,USAIS,730.0,-320.0
TRNCANBCUSABP,CANBC,USABP,2028.0,-2151.0
TRNCANMBUSAMI,CANMB,USAMI,2084.0,-1203.0
TRNCANONUSAMI,CANON,USAMI,1501.0,-794.0
TRNCANONUSANY,CANON,USANY,1324.0,-434.0
TRNCANQCUSAIS,CANQC,USAIS,2034.0,-132.0
TRNCANQCUSANY,CANQC,USANY,1713.0,-896.0
TRNCANSKUSASW,CANSK,USASW,134.0,-17.0
TRNMEXXXUSACI,MEXXX,USACI,187.0,-375.0
TRNMEXXXUSAER,MEXXX,USAER,215.0,-342.0
TRNUSAAAUSABP,USAAA,USABP,298.0,-1116.0
TRNUSAAAUSACH,USAAA,USACH,19.0,-22.0
TRNUSAAAUSAGC,USAAA,USAGC,177.0,-114.0
TRNUSAAAUSAIP,USAAA,USAIP,265.0,-153.0
TRNUSAAAUSANW,USAAA,USANW,90.0,-142.0
TRNUSAAAUSAPW,USAAA,USAPW,218.0,-246.0
TRNUSAAIUSAMI,USAAI,USAMI,796.0,-721.0
TRNUSAAIUSASP,USAAI,USASP,183.0,-602.0
TRNUSAAIUSASW,USAAI,USASW,562.0,-853.0
TRNUSAAIUSATV,USAAI,USATV,269.0,-11.0
TRNUSAANUSABP,USAAN,USABP,1260.0,-10.0
TRNUSAANUSAPW,USAAN,USAPW,574.0,-2.0
TRNUSAAZUSACI,USAAZ,USACI,1458.0,-325.0
TRNUSAAZUSAII,USAAZ,USAII,47.0,-73.0
TRNUSAAZUSALD,USAAZ,USALD,822.0,-98.0
TRNUSAAZUSAPE,USAAZ,USAPE,394.0,-581.0
TRNUSAAZUSAPN,USAAZ,USAPN,530.0,-601.0
TRNUSAAZUSASR,USAAZ,USASR,1348.0,-4297.0
TRNUSAAZUSATP,USAAZ,USATP,467.0,-195.0
TRNUSAAZUSAWC,USAAZ,USAWC,1365.0,-267.0
TRNUSAAZUSAWM,USAAZ,USAWM,186.0,-367.0
TRNUSABAUSABP,USABA,USABP,873.0,-1562.0
TRNUSABAUSACI,USABA,USACI,1101.0,-1025.0
TRNUSABAUSATI,USABA,USATI,274.0,-460.0
TRNUSABPUSACH,USABP,USACH,135.0,-956.0
TRNUSABPUSACI,USABP,USACI,2546.0,-1335.0
TRNUSABPUSADO,USABP,USADO,210.0,-586.0
TRNUSABPUSAGC,USABP,USAGC,317.0,-911.0
TRNUSABPUSAGD,USABP,USAGD,19.0,-1450.0
TRNUSABPUSAIP,USABP,USAIP,130.0,-134.0
TRNUSABPUSALD,USABP,USALD,3026.0,-624.0
TRNUSABPUSANE,USABP,USANE,160.0,-128.0
TRNUSABPUSANW,USABP,USANW,574.0,-1372.0
TRNUSABPUSAPG,USABP,USAPG,2395.0,0.0
TRNUSABPUSAPI,USABP,USAPI,2922.0,-0.0
TRNUSABPUSAPW,USABP,USAPW,2008.0,-309.0
TRNUSABPUSASL,USABP,USASL,1103.0,-367.0
TRNUSABPUSATR,USABP,USATR,547.0,-176.0
TRNUSACEUSADU,USACE,USADU,1349.0,-1410.0
TRNUSACEUSAPJ,USACE,USAPJ,1219.0,-1183.0
TRNUSACEUSASC,USACE,USASC,608.0,-369.0
TRNUSACEUSASG,USACE,USASG,83.0,-218.0
TRNUSACEUSAYA,USACE,USAYA,41.0,-69.0
TRNUSACHUSADO,USACH,USADO,291.0,-197.0
TRNUSACHUSAPI,USACH,USAPI,234.0,-175.0
TRNUSACIUSAII,USACI,USAII,266.0,-562.0
TRNUSACIUSALD,USACI,USALD,1246.0,-3178.0
TRNUSACIUSANE,USACI,USANE,296.0,-1401.0
